groupID,n_PAS,n_sig,n_big,min_padj,max_absL2FC,mean_absL2FC,dir_consensus,perGeneQ
B3GNT2,2,0,0,1,NA,NA,NA,1
B4GALT5,2,0,0,1,NA,NA,NA,1
B4GALT7,2,0,0,1,NA,NA,NA,1
BABAM2,2,0,0,1,NA,NA,NA,1
BACE1,5,0,0,1,NA,NA,NA,1
BACE2,4,0,0,1,NA,NA,NA,1
BACH1,3,0,0,1,NA,NA,NA,1
BAG3,3,0,0,1,NA,NA,NA,1
BAG4,3,0,0,1,NA,NA,NA,1
BAG5,5,0,0,1,NA,NA,NA,1
BAIAP2L1,2,0,0,1,NA,NA,NA,1
BAMBI,2,0,0,1,NA,NA,NA,1
BARD1,2,0,0,1,NA,NA,NA,1
BASP1,3,0,0,1,NA,NA,NA,1
BAZ1B,2,0,0,1,NA,NA,NA,1
BAZ2A,3,0,0,1,NA,NA,NA,1
BAZ2B,3,0,0,1,NA,NA,NA,1
BBIP1,4,0,0,1,NA,NA,NA,1
BBOF1,2,0,0,1,NA,NA,NA,1
BBS10,2,0,0,1,NA,NA,NA,1
BBS12,2,0,0,1,NA,NA,NA,1
BBS2,3,0,0,1,NA,NA,NA,1
BBS4,2,0,0,1,NA,NA,NA,1
BBS5,2,0,0,1,NA,NA,NA,1
BBS7,2,0,0,1,NA,NA,NA,1
BBX,6,0,0,1,NA,NA,NA,1
BCAR1,3,0,0,1,NA,NA,NA,1
BCAS2,3,0,0,1,NA,NA,NA,1
BCAT1,9,0,0,1,NA,NA,NA,1
BCDIN3D,3,0,0,1,NA,NA,NA,1
BCKDK,3,0,0,1,NA,NA,NA,1
BCL10,6,0,0,1,NA,NA,NA,1
BCL2L13,4,0,0,1,NA,NA,NA,1
BCL2L2-PABPN1,2,0,0,1,NA,NA,NA,1
BCL6B,4,0,0,1,NA,NA,NA,1
BCLAF1,6,0,0,1,NA,NA,NA,1
BCORL1,2,0,0,1,NA,NA,NA,1
BCR,2,0,0,1,NA,NA,NA,1
BDH2,4,0,0,1,NA,NA,NA,1
BDNF,7,0,0,1,NA,NA,NA,1
BECN1,2,0,0,1,NA,NA,NA,1
BET1,4,0,0,1,NA,NA,NA,1
BET1L,2,0,0,1,NA,NA,NA,1
